Pressure,  Temp, volume, energy,enthalpy, entropy
0.01,45.806,14.67,2437.2,2583.9,8.1488
0.01,50,14.867,2443.3,2592,8.1741
0.01,55,15.101,2450.6,2601.6,8.2036
0.01,60,15.335,2457.8,2611.2,8.2326
0.01,65,15.568,2465,2620.7,8.2611
0.01,70,15.801,2472.3,2630.3,8.2891
0.01,75,16.034,2479.5,2639.8,8.3167
0.01,80,16.267,2486.6,2649.3,8.3439
0.01,85,16.5,2493.9,2658.9,8.3707
0.01,90,16.732,2501.1,2668.4,8.3971
0.01,95,16.964,2508.3,2677.9,8.4232
0.01,100,17.196,2515.5,2687.5,8.4489
0.01,105,17.428,2522.7,2697,8.4742
0.01,110,17.66,2529.9,2706.5,8.4993
0.01,115,17.892,2537.2,2716.1,8.524
0.01,120,18.124,2544.4,2725.6,8.5484
0.01,125,18.356,2551.6,2735.2,8.5726
0.01,130,18.587,2558.8,2744.7,8.5964
0.01,135,18.819,2566.1,2754.3,8.62
0.01,140,19.05,2573.4,2763.9,8.6434
0.01,145,19.282,2580.6,2773.4,8.6664
0.01,150,19.513,2587.9,2783,8.6892
0.01,155,19.745,2595.2,2792.6,8.7118
0.01,160,19.976,2602.5,2802.3,8.7341
0.01,165,20.207,2609.8,2811.9,8.7562
0.01,170,20.438,2617.1,2821.5,8.7781
0.01,175,20.67,2624.5,2831.2,8.7997
0.01,180,20.901,2631.8,2840.8,8.8212
0.01,185,21.132,2639.2,2850.5,8.8424
0.01,190,21.363,2646.6,2860.2,8.8634
0.01,195,21.594,2654,2869.9,8.8843
0.01,200,21.826,2661.3,2879.6,8.9049
0.01,210,22.288,2676.2,2899.1,8.9456
0.01,220,22.75,2691.1,2918.6,8.9856
0.01,230,23.212,2706,2938.1,9.0248
0.01,240,23.674,2721.1,2957.8,9.0635
0.01,250,24.136,2736,2977.4,9.1015
0.01,260,24.598,2751.2,2997.2,9.1388
0.01,270,25.06,2766.4,3017,9.1756
0.01,280,25.522,2781.6,3036.8,9.2118
0.01,290,25.984,2797,3056.8,9.2475
0.01,300,26.446,2812.2,3076.7,9.2827
0.01,310,26.907,2827.7,3096.8,9.3173
0.01,320,27.369,2843.2,3116.9,9.3515
0.01,330,27.831,2858.7,3137,9.3852
0.01,340,28.293,2874.4,3157.3,9.4185
0.01,350,28.755,2889.9,3177.5,9.4513
0.01,360,29.216,2905.7,3197.9,9.4837
0.01,370,29.678,2921.5,3218.3,9.5157
0.01,380,30.14,2937.4,3238.8,9.5473
